url,name,born,died,alma_mater,education,influences,notable_ideas,contributions,doctoral_advisors,doctoral_students,image_url
https://en.wikipedia.org/wiki/Serge_Latouche,Serge Latouche,1940-01-12,,[],[],[],"['Degrowth', '1']",[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Serge_Latouche_-_Festival_Economia_2012_%28cropped%29.JPG/220px-Serge_Latouche_-_Festival_Economia_2012_%28cropped%29.JPG
https://en.wikipedia.org/wiki/Domingo_Laino,Domingo Laíno,1935-07-08,,['Universidad Nacional de Asunción'],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/David_Laidler,David Laidler,1938-08-12,,"['London School of Economics', 'BSc Econ', 'Syracuse University', 'MA', 'University of Chicago', 'PhD']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Philip_R._Lane,Philip R. Lane,1969-08-27,,[],"['Blackrock College', 'Trinity College Dublin', 'Harvard University']",[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Ricardo_Lagos,Ricardo Lagos,1938-03-02,,"['University of Chile', 'Duke University']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Jean-Jacques_Laffont,Jean-Jacques Laffont,1947-04-13,(2004-05-01),[],[],[],[],"['Public economics', 'disequilibrium', 'econometrics', 'Information', 'econometrics', 'asymmetry']",[],[],[]
https://en.wikipedia.org/wiki/David_Laibson,David Laibson,1966-06-26,,[],"['Harvard University', 'BA', 'London School of Economics', 'MSc', 'Massachusetts Institute of Technology', 'PhD']","['Benjamin M. Friedman', 'Matthew Rabin']",[],[],"['Olivier Jean Blanchard', '1', 'Roland Bénabou', '1']",[],https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/David_laibson_2007.jpg/220px-David_laibson_2007.jpg
https://en.wikipedia.org/wiki/Finn_E._Kydland,Finn Erling Kydland,1943-12-01,,"['Norwegian School of Economics', 'Carnegie Mellon University']",[],['Robert S. Kaplan'],[],"['Real Business Cycle Theory', 'Time consistency', 'economic policy']","['Edward C. Prescott', 'David Cass']",[],https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Finn_E_Kydland_2015.jpg/260px-Finn_E_Kydland_2015.jpg
https://en.wikipedia.org/wiki/Vladimir_Kvint,Vladimir Kvint,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Robert_Kuttner,Robert Kuttner,1943-04-17,,[],"['Oberlin College', 'BA', 'London School of Economics', 'University of California, Berkeley', 'MA']",[],[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Robert_Kuttner_-_Flickr_image_3444876149.jpg/220px-Robert_Kuttner_-_Flickr_image_3444876149.jpg
